Entry	Action	User Name	Updated Date
教练	Updated	hoannk	2013-07-17 15:05:02.785+07:00
主教练	Updated	hoannk	2013-07-17 15:05:11.443+07:00
足坛	Added	hoannk	2013-07-17 15:17:53.077+07:00
喧	Added	hoannk	2013-10-09 15:14:50.157+07:00
喧 闹	Updated	hoannk	2013-10-09 15:14:23.369+07:00
缩着	Updated	hoannk	2013-07-17 15:47:09.772+07:00
肌肉	Updated	hoannk	2013-07-17 15:48:51.516+07:00
小腿	Updated	hoannk	2013-07-17 15:49:49.079+07:00
右边后卫	Added	hoannk	2013-07-17 15:50:55.053+07:00
盘带	Added	hoannk	2013-07-17 15:51:51.609+07:00
球员	Added	hoannk	2013-07-17 15:53:49.272+07:00
转会	Updated	hoannk	2013-07-18 17:33:26.214+07:00
辣妹	Added	hoannk	2013-09-26 22:28:37.188+07:00
争论	Updated	hoannk	2013-07-17 16:03:06.015+07:00
守门员	Updated	hoannk	2013-07-17 16:05:44.498+07:00
归纳	Updated	hoannk	2013-07-17 16:08:09.527+07:00
大人	Updated	hoannk	2013-07-17 16:08:57.275+07:00
理论	Updated	hoannk	2013-07-17 16:09:27.050+07:00
异类	Updated	hoannk	2013-07-17 16:09:49.631+07:00
感情	Updated	hoannk	2013-07-17 16:10:31.483+07:00
太爽了	Deleted	hoannk	2013-07-17 16:11:39.444+07:00
好看	Updated	hoannk	2013-07-17 16:12:20.187+07:00
之发挥	Added	hoannk	2013-07-17 16:13:14.656+07:00
艺术	Updated	hoannk	2013-07-17 16:14:15.466+07:00
功利	Added	hoannk	2013-07-17 16:16:21.661+07:00
功利了	Added	hoannk	2013-07-17 16:16:33.998+07:00
更	Updated	hoannk	2013-07-17 16:17:10.542+07:00
唯胜利论	Added	hoannk	2013-07-17 16:19:05.372+07:00
吵吵	Added	hoannk	2013-07-17 16:19:36.871+07:00
成天	Updated	hoannk	2013-07-17 16:19:54.183+07:00
喋喋不休	Deleted	hoannk	2013-07-17 16:20:35.172+07:00
职业足球	Added	hoannk	2013-07-17 16:21:39.785+07:00
本质	Updated	hoannk	2013-07-17 16:22:22.846+07:00
强身健体	Added	hoannk	2013-07-17 16:22:48.139+07:00
大众	Updated	hoannk	2013-07-17 16:23:08.326+07:00
荣耀	Updated	hoannk	2013-07-17 16:26:29.118+07:00
奇迹	Updated	hoannk	2013-07-17 16:26:43.200+07:00
财团	Added	hoannk	2013-07-17 16:27:12.473+07:00
后盾	Updated	hoannk	2013-07-17 16:27:31.290+07:00
决赛	Updated	hoannk	2013-07-17 16:28:08.062+07:00
电视	Updated	hoannk	2013-07-17 16:28:49.883+07:00
转播	Added	hoannk	2013-07-17 16:29:11.854+07:00
帝国	Updated	hoannk	2013-07-17 16:30:32.411+07:00
悲哀	Updated	hoannk	2013-07-17 16:31:57.804+07:00
逆天	Updated	hoannk	2013-07-17 16:32:17.860+07:00
解雇	Added	hoannk	2013-07-17 16:33:06.694+07:00
很强烈	Added	hoannk	2013-07-17 16:33:51.228+07:00
无忧	Updated	hoannk	2013-07-17 16:34:28.984+07:00
真理	Updated	hoannk	2013-07-17 16:34:42.810+07:00
幻象	Updated	hoannk	2013-07-17 16:34:56.414+07:00
福利	Updated	hoannk	2013-07-17 16:35:34.835+07:00
酒鬼	Updated	hoannk	2013-07-17 16:37:14.867+07:00
啤酒	Updated	hoannk	2013-07-17 16:41:49.620+07:00
金光	Updated	hoannk	2013-07-17 16:42:32.385+07:00
诅咒	Updated	hoannk	2013-07-17 16:42:52.423+07:00
战机	Updated	hoannk	2013-07-17 16:44:36.945+07:00
不适用	Updated	hoannk	2013-07-17 16:45:47.010+07:00
现代前腰	Added	hoannk	2013-07-17 16:47:19.454+07:00
古典	Updated	hoannk	2013-07-17 16:47:36.865+07:00
古典型前腰	Added	hoannk	2013-07-17 16:47:51.074+07:00
古典前腰	Added	hoannk	2013-07-17 16:49:28.342+07:00
大旗	Updated	hoannk	2013-07-17 16:49:46.231+07:00
空中	Updated	hoannk	2013-07-17 16:50:17.492+07:00
中立	Updated	hoannk	2013-07-17 16:51:04.425+07:00
回答	Updated	hoannk	2013-07-17 16:51:54.852+07:00
仇人	Updated	hoannk	2013-07-17 16:53:11.102+07:00
太阳穴	Updated	hoannk	2013-07-17 16:57:25.180+07:00
光溜溜的	Updated	hoannk	2013-07-17 16:57:55.466+07:00
摊牌	Updated	hoannk	2013-07-17 16:59:35.687+07:00
凌空	Updated	hoannk	2013-07-17 17:00:02.721+07:00
小东西	Updated	hoannk	2013-07-17 17:01:29.338+07:00
混	Updated	hoannk	2013-07-17 17:02:41.458+07:00
对得起	Added	hoannk	2013-07-17 17:03:59.661+07:00
将在外君命有所不受	Added	hoannk	2013-07-17 17:06:32.607+07:00
人员	Updated	hoannk	2013-07-17 17:06:49.813+07:00
法国	Updated	hoannk	2013-07-17 17:07:07.670+07:00
右后卫	Added	hoannk	2013-07-17 17:07:33.467+07:00
右路	Added	hoannk	2013-07-17 17:08:16.485+07:00
边路	Added	hoannk	2013-07-17 17:10:27.270+07:00
血液	Updated	hoannk	2013-07-17 17:10:45.485+07:00
牛人	Updated	hoannk	2013-07-17 17:11:51.574+07:00
妖人	Updated	hoannk	2013-07-17 17:12:03.086+07:00
第十七	Added	hoannk	2013-07-17 17:12:34.179+07:00
主导	Updated	hoannk	2013-07-17 17:14:59.694+07:00
禁赛	Added	hoannk	2013-07-17 17:15:25.191+07:00
轮	Updated	hoannk	2013-07-17 17:17:52.817+07:00
国际	Updated	hoannk	2013-07-17 17:18:04.336+07:00
屡屡	Added	hoannk	2013-07-17 17:21:42.287+07:00
控球	Updated	hoannk	2013-07-17 17:22:16.180+07:00
保安	Updated	hoannk	2013-07-17 17:22:35.467+07:00
前锋	Updated	hoannk	2013-07-17 17:23:25.958+07:00
大力气	Added	hoannk	2013-07-17 17:25:22.412+07:00
补赛	Added	hoannk	2013-07-18 09:24:18.290+07:00
统一	Updated	hoannk	2013-07-18 09:54:44.296+07:00
领导	Updated	hoannk	2013-07-18 09:54:58.414+07:00
红色	Updated	hoannk	2013-07-18 09:55:36.418+07:00
唱歌	Updated	hoannk	2013-07-18 09:56:43.258+07:00
铁丝	Updated	hoannk	2013-07-18 09:58:45.383+07:00
心得	Updated	hoannk	2013-07-18 10:04:23.170+07:00
司机	Updated	hoannk	2013-07-18 10:04:38.930+07:00
公路	Updated	hoannk	2013-07-18 10:06:09.523+07:00
摩擦	Updated	hoannk	2013-07-18 10:06:25.450+07:00
士兵	Updated	hoannk	2013-07-18 10:06:57.943+07:00
笔记本	Updated	hoannk	2013-07-18 10:15:25.678+07:00
口号	Updated	hoannk	2013-07-18 10:15:57.092+07:00
头儿	Deleted	hoannk	2013-07-18 10:16:18.779+07:00
狰狞的刀疤	Updated	hoannk	2013-07-18 10:19:39.746+07:00
社团	Updated	hoannk	2013-07-18 10:20:41.421+07:00
头子	Updated	hoannk	2013-07-18 10:37:42.339+07:00
板砖	Updated	hoannk	2013-07-18 10:37:59.489+07:00
把握	Updated	hoannk	2013-07-18 10:38:30.007+07:00
大局	Updated	hoannk	2013-07-18 10:38:50.264+07:00
晋级	Updated	hoannk	2013-07-18 10:39:27.890+07:00
告别	Updated	hoannk	2013-07-18 10:39:52.879+07:00
大雪	Updated	hoannk	2013-07-18 10:41:54.190+07:00
气力	Updated	hoannk	2013-07-18 10:42:22.779+07:00
骑着	Updated	hoannk	2013-07-18 10:42:46.339+07:00
哥哥	Updated	hoannk	2013-07-18 10:43:21.024+07:00
争霸	Updated	hoannk	2013-07-18 10:46:28.942+07:00
天下	Updated	hoannk	2013-07-18 10:46:39.744+07:00
迁徙	Updated	hoannk	2013-07-18 10:47:04.909+07:00
钱两	Added	hoannk	2013-07-18 10:47:28.346+07:00
人力	Updated	hoannk	2013-07-18 10:47:38.466+07:00
不至于	Updated	hoannk	2013-07-18 10:47:57.120+07:00
县城	Updated	hoannk	2013-07-18 10:48:22.254+07:00
求助	Updated	hoannk	2013-07-18 10:49:11.770+07:00
兵马	Updated	hoannk	2013-07-18 10:49:38.887+07:00
相得益彰	Added	hoannk	2013-07-18 10:49:57.373+07:00
政务	Updated	hoannk	2013-07-18 10:50:17.780+07:00
吃喝拉撒	Updated	hoannk	2013-07-18 10:50:42.763+07:00
叔父	Updated	hoannk	2013-07-18 10:51:04.192+07:00
老成	Updated	hoannk	2013-07-18 10:52:13.804+07:00
少年老成	Added	hoannk	2013-07-18 10:52:37.591+07:00
还是个孩子	Updated	hoannk	2013-07-18 10:53:15.864+07:00
避难	Updated	hoannk	2013-07-18 10:53:51.413+07:00
西征	Added	hoannk	2013-07-18 10:54:32.071+07:00
姓名	Updated	hoannk	2013-07-18 10:54:46.752+07:00
礼遇	Updated	hoannk	2013-07-18 10:55:15.502+07:00
三国时代	Updated	hoannk	2013-07-18 10:56:21.754+07:00
大胜	Updated	hoannk	2013-07-18 10:56:51.943+07:00
书信	Updated	hoannk	2013-07-18 10:57:11.525+07:00
解	Updated	hoannk	2013-07-18 10:57:47.105+07:00
公子	Updated	hoannk	2013-07-18 10:58:14.263+07:00
兵事	Added	hoannk	2013-07-18 10:58:31.677+07:00
饥荒	Added	hoannk	2013-07-18 10:58:54.802+07:00
将来	Updated	hoannk	2014-03-07 14:23:12.597+07:00
征伐	Added	hoannk	2013-07-18 11:00:30.119+07:00
诸侯	Updated	hoannk	2013-07-18 11:00:42.827+07:00
忧虑	Updated	hoannk	2013-07-18 11:01:08.209+07:00
流民	Added	hoannk	2013-07-18 11:01:21.442+07:00
屯田	Added	hoannk	2013-07-18 11:01:43.094+07:00
大兴	Updated	hoannk	2013-07-18 11:03:01.440+07:00
朝廷	Updated	hoannk	2013-07-18 11:03:26.654+07:00
正名	Updated	hoannk	2013-09-11 16:23:03.067+07:00
想当初	Added	hoannk	2013-07-18 11:04:14.131+07:00
官职	Updated	hoannk	2013-07-18 11:04:28.365+07:00
根基	Updated	hoannk	2013-07-18 11:04:53.278+07:00
护送	Updated	hoannk	2013-07-18 11:05:15.271+07:00
草本	Added	hoannk	2013-07-18 11:05:48.060+07:00
草本原件	Added	hoannk	2013-07-18 11:06:02.658+07:00
